Date,Station,Temp_Max,Temp_Avg,Temp_Min,Wind_Max,Wind_Avg,Wind_Min,Pres_Max,Pres_Avg,Pres_Min,Precipitation_mm
1,Edi,10,7.3,2,54,27.5,2,998.1,985.8,978.2,3.8
2,Edi,8,4.4,0,28,9.4,0,998.1,993.4,990.2,3.6
3,Edi,8,5.2,2,41,31.7,22,997.1,995.4,990.2,2.5
4,Edi,10,5.4,2,31,14.8,2,1027,1013.7,996.1,2
5,Edi,8,5.5,2,28,17.7,6,1028,1026.8,1025,0
6,Edi,9,5.3,-1,22,12,2,1025,1022.8,1019,0
7,Edi,9,2.5,-4,24,8.5,0,1019,1006.7,992.2,0.8
8,Edi,10,7,4,50,35.8,6,999.1,991.5,980.2,22.6
9,Edi,11,6.8,3,63,30,2,978.2,963.7,956.3,23.6
10,Edi,4,2.5,1,41,30.2,17,976.2,974.3,969.3,22.9
11,Edi,4,2.9,2,57,32.9,13,990.2,983.7,977.2,7.4
12,Edi,5,2.5,-1,37,23.8,4,1001.1,996.6,990.2,2.3
13,Edi,6,3.3,-2,26,14.8,0,1005.1,993.6,985.2,3
14,Edi,10,5.4,-1,50,22.6,0,1005.1,999.2,994.1,2
15,Edi,11,7.4,4,48,27.8,9,1000.1,981.5,968.3,10.2
16,Edi,8,6.4,4,65,45.3,22,973.3,969,965.3,1.3
17,Edi,8,5.4,3,59,37.5,13,998.1,986.6,973.3,8.6
18,Edi,7,4,2,37,28.7,17,1001.1,998.3,997.1,6.6
19,Edi,10,6,2,35,25.9,17,1005.1,999.5,992.2,2.5
20,Edi,10,5.3,1,39,26.1,15,1001.1,992.9,987.2,11.2
21,Edi,10,8,5,52,42.3,28,1001.1,995.4,987.2,8.1
22,Edi,11,4.7,3,56,35.6,26,1002.1,995.1,986.2,11.2
23,Edi,7,3.8,1,35,19.9,4,1012.1,1004,998.1,0.5
24,Edi,3,2.4,1,22,13.9,2,1012.1,995.6,987.2,6.6
25,Edi,6,2.4,0,20,13.2,6,991.2,987,984.2,0
26,Edi,6,2.1,-2,26,16.2,7,995.1,992.1,987.2,0.5
27,Edi,6,2.5,0,30,19.2,11,1001.1,994.4,989.2,0
28,Edi,5,3.5,2,26,13.7,2,1001.1,988.5,974.3,4.1
29,Edi,8,4.9,3,50,23.6,4,974.3,963,955.3,8.1
1,Gla,10,7.2,2,46,27.4,2,1003,990.8,983.1,8.1
2,Gla,8,4.8,0,37,16.2,2,1003,997.4,994.1,11.9
3,Gla,9,5.6,2,44,30,20,1003,1000.7,995.1,9.1
4,Gla,10,6.6,2,39,17.6,4,1032,1019,1002,0
5,Gla,8,5.7,2,24,14.4,2,1033,1031.9,1029,0
6,Gla,8,6,1,22,10.5,2,1029,1027,1023,0
7,Gla,8,2.6,-4,37,12.7,2,1023,1010.1,995.1,1.3
8,Gla,9,6.6,4,63,34.8,7,1002,995,984.1,24.1
9,Gla,10,6.4,3,63,33.1,4,982.1,969,961.1,22.1
10,Gla,5,3.1,1,54,32.6,17,982.1,979.1,974.1,18
11,Gla,4,3.6,3,46,32.1,22,996,989.4,982.1,7.9
12,Gla,5,2.9,-1,43,21.9,4,1005,1001.6,996,3
13,Gla,6,2.8,0,35,19.6,2,1009,997.5,989.1,4.1
14,Gla,10,6.1,1,44,22.9,6,1009,1003,998,12.2
15,Gla,10,7.1,4,50,28.4,9,1003,984.5,971.1,29.5
16,Gla,8,5.9,4,63,51.1,24,978.1,973,969.1,6.6
17,Gla,8,5.7,3,63,37,19,1003,991.8,978.1,16.5
18,Gla,7,4.1,2,46,28,11,1007,1003.3,1001,9.4
19,Gla,9,6.1,3,44,27.8,13,1010,1004.3,996,8.1
20,Gla,10,5.5,3,48,27.3,13,1006,997.8,992.1,14
21,Gla,10,7.9,6,56,48.2,41,1006,1000,991.1,56.1
22,Gla,9,4.9,3,61,41.2,22,1007,1000.2,992.1,13
23,Gla,7,3.9,1,35,18.4,0,1017,1009.1,1002,7.1
24,Gla,3,2.5,1,30,17,7,1016,1000,993.1,6.3
25,Gla,5,2.5,1,22,13.2,2,996,991.5,989.1,4.1
26,Gla,6,2.2,-1,39,15.8,4,1000,997.2,992.1,3
27,Gla,5,2.4,0,37,15.9,2,1005,999.6,995.1,3.3
28,Gla,5,3.4,2,28,13.4,4,1005,992.1,977.1,8.9
29,Gla,7,4.5,2,57,25.8,7,976.1,966.4,959.1,21.1
1,Lon,12,10.8,8,44,27.3,13,1009.4,1003.8,1000.4,1
2,Lon,14,11.1,7,39,20.8,6,1009.4,1006.5,1001.4,9.1
3,Lon,12,10.2,7,30,23.1,13,1014.4,1011.5,1009.4,0.3
4,Lon,10,7.8,6,41,23.8,6,1033.4,1021.6,1013.4,0
5,Lon,9,6.6,3,13,7.5,4,1037.4,1035.7,1033.4,0.5
6,Lon,10,5.8,3,13,6.8,0,1034.4,1030.4,1026.4,0
7,Lon,11,6.6,2,20,13,2,1026.4,1018.6,1012.4,0.5
8,Lon,12,10,8,26,17.1,11,1016.4,1014,1010.4,3
9,Lon,14,11.4,10,54,38.8,28,1009.4,993,984.4,17.3
10,Lon,11,7.7,3,44,34.7,26,1000.4,996.3,988.4,3.8
11,Lon,8,6.1,4,50,33.1,22,1011.4,1006.6,1001.4,0.8
12,Lon,9,6.3,3,33,22.4,9,1014.4,1012.9,1008.4,2
13,Lon,10,8.3,6,30,20.8,9,1011.4,998.1,990.4,24.9
14,Lon,12,9.2,4,24,16.5,6,1018.4,1015.9,1011.4,0.05
15,Lon,13,12.5,11,43,28.9,13,1014.4,1005.4,996.4,14.5
16,Lon,14,10.8,7,43,30.2,15,1004.4,995.4,990.4,53.1
17,Lon,11,8.7,6,35,26.3,19,1017.4,1008.9,1005.4,5.1
18,Lon,11,7.6,6,31,23.1,15,1019.4,1017,1013.4,2
19,Lon,10,7.2,4,31,20.1,13,1021.4,1017.6,1012.4,3
20,Lon,11,8.7,5,39,25.5,15,1021.4,1011.1,1003.4,10.9
21,Lon,11,8.7,5,37,26.2,15,1023.4,1021.1,1017.4,0
22,Lon,14,11.6,10,48,34.1,19,1020.4,1017,1013.4,0.3
23,Lon,15,11.6,8,43,25.7,4,1023.4,1015.8,1008.4,0.8
24,Lon,13,10.2,6,37,25.5,7,1022.4,1008.9,1002.4,9.1
25,Lon,9,6.9,4,37,23.6,17,1004.4,999,994.4,2
26,Lon,9,5.7,3,35,22.9,7,1007.4,1002.8,996.4,0.8
27,Lon,8,5.2,2,39,16.6,6,1014.4,1003,994.4,14.2
28,Lon,13,7.6,3,35,17.7,4,1014.4,1004.5,992.4,11.2
29,Lon,12,8.4,6,39,29.3,17,992.4,985.4,980.4,13.2
