country_region_code,country_region,sub_region_1
GB,United Kingdom,NA
GB,United Kingdom,Aberdeen City
GB,United Kingdom,Aberdeenshire
GB,United Kingdom,Angus council
GB,United Kingdom,Antrim And Newtownabbey
GB,United Kingdom,Ards And North Down
GB,United Kingdom,Argyll and Bute Council
GB,United Kingdom,"Armagh City, Banbridge And Craigavon"
GB,United Kingdom,Bath and North East Somerset
GB,United Kingdom,Bedford
GB,United Kingdom,Belfast
GB,United Kingdom,Blackburn with Darwen
GB,United Kingdom,Blackpool
GB,United Kingdom,Blaenau Gwent
GB,United Kingdom,Borough of Halton
GB,United Kingdom,Bracknell Forest
GB,United Kingdom,Bridgend County Borough
GB,United Kingdom,Brighton and Hove
GB,United Kingdom,Buckinghamshire
GB,United Kingdom,Caerphilly County Borough
GB,United Kingdom,Cambridgeshire
GB,United Kingdom,Cardiff
GB,United Kingdom,Carmarthenshire
GB,United Kingdom,Causeway Coast and Glens
GB,United Kingdom,Central Bedfordshire
GB,United Kingdom,Ceredigion
GB,United Kingdom,Cheshire East
GB,United Kingdom,Cheshire West and Chester
GB,United Kingdom,City of Bristol
GB,United Kingdom,Clackmannanshire
GB,United Kingdom,Conwy Principal Area
GB,United Kingdom,Cornwall
GB,United Kingdom,County Durham
GB,United Kingdom,Cumbria
GB,United Kingdom,Darlington
GB,United Kingdom,Denbighshire
GB,United Kingdom,Derby
GB,United Kingdom,Derbyshire
GB,United Kingdom,Derry And Strabane
GB,United Kingdom,Devon
GB,United Kingdom,Dorset
GB,United Kingdom,Dumfries and Galloway
GB,United Kingdom,Dundee City Council
GB,United Kingdom,East Ayrshire Council
GB,United Kingdom,East Dunbartonshire Council
GB,United Kingdom,East Lothian Council
GB,United Kingdom,East Renfrewshire Council
GB,United Kingdom,East Riding of Yorkshire
GB,United Kingdom,East Sussex
GB,United Kingdom,Edinburgh
GB,United Kingdom,Essex
GB,United Kingdom,Falkirk
GB,United Kingdom,Fermanagh And Omagh
GB,United Kingdom,Fife
GB,United Kingdom,Flintshire
GB,United Kingdom,Glasgow City
GB,United Kingdom,Gloucestershire
GB,United Kingdom,Greater London
GB,United Kingdom,Greater Manchester
GB,United Kingdom,Gwynedd
GB,United Kingdom,Hampshire
GB,United Kingdom,Hartlepool
GB,United Kingdom,Herefordshire
GB,United Kingdom,Hertfordshire
GB,United Kingdom,Highland Council
GB,United Kingdom,Inverclyde
GB,United Kingdom,Isle of Anglesey
GB,United Kingdom,Isle of Wight
GB,United Kingdom,Kent
GB,United Kingdom,Kingston upon Hull
GB,United Kingdom,Lancashire
GB,United Kingdom,Leicester
GB,United Kingdom,Leicestershire
GB,United Kingdom,Lincolnshire
GB,United Kingdom,Lisburn and Castlereagh
GB,United Kingdom,Luton
GB,United Kingdom,Medway
GB,United Kingdom,Merseyside
GB,United Kingdom,Merthyr Tydfil County Borough
GB,United Kingdom,Mid And East Antrim
GB,United Kingdom,Mid Ulster
GB,United Kingdom,Middlesbrough
GB,United Kingdom,Midlothian
GB,United Kingdom,Milton Keynes
GB,United Kingdom,Monmouthshire
GB,United Kingdom,Moray
GB,United Kingdom,Neath Port Talbot Principle Area
GB,United Kingdom,Newport
GB,United Kingdom,"Newry, Mourne And Down"
GB,United Kingdom,Norfolk
GB,United Kingdom,North Ayrshire Council
GB,United Kingdom,North East Lincolnshire
GB,United Kingdom,North Lanarkshire
GB,United Kingdom,North Lincolnshire
GB,United Kingdom,North Somerset
GB,United Kingdom,North Yorkshire
GB,United Kingdom,Northamptonshire
GB,United Kingdom,Northumberland
GB,United Kingdom,Nottingham
GB,United Kingdom,Nottinghamshire
GB,United Kingdom,Oxfordshire
GB,United Kingdom,Pembrokeshire
GB,United Kingdom,Perth and Kinross
GB,United Kingdom,Peterborough
GB,United Kingdom,Plymouth
GB,United Kingdom,Portsmouth
GB,United Kingdom,Powys
GB,United Kingdom,Reading
GB,United Kingdom,Redcar and Cleveland
GB,United Kingdom,Renfrewshire
GB,United Kingdom,Rhondda Cynon Taff
GB,United Kingdom,Rutland
GB,United Kingdom,Scottish Borders
GB,United Kingdom,Shropshire
GB,United Kingdom,Slough
GB,United Kingdom,Somerset
GB,United Kingdom,South Ayrshire Council
GB,United Kingdom,South Gloucestershire
GB,United Kingdom,South Lanarkshire
GB,United Kingdom,South Yorkshire
GB,United Kingdom,Southampton
GB,United Kingdom,Southend-on-Sea
GB,United Kingdom,Staffordshire
GB,United Kingdom,Stirling
GB,United Kingdom,Stockton-on-Tees
GB,United Kingdom,Stoke-on-Trent
GB,United Kingdom,Suffolk
GB,United Kingdom,Surrey
GB,United Kingdom,Swansea
GB,United Kingdom,Swindon
GB,United Kingdom,Thurrock
GB,United Kingdom,Torbay
GB,United Kingdom,Torfaen Principal Area
GB,United Kingdom,Tyne and Wear
GB,United Kingdom,Vale of Glamorgan
GB,United Kingdom,Warrington
GB,United Kingdom,Warwickshire
GB,United Kingdom,West Berkshire
GB,United Kingdom,West Dunbartonshire Council
GB,United Kingdom,West Lothian
GB,United Kingdom,West Midlands
GB,United Kingdom,West Sussex
GB,United Kingdom,West Yorkshire
GB,United Kingdom,Wiltshire
GB,United Kingdom,Windsor and Maidenhead
GB,United Kingdom,Wokingham
GB,United Kingdom,Worcestershire
GB,United Kingdom,Wrexham Principal Area
GB,United Kingdom,York
